geography,sex,age_group,disability_type,global_severity,labour_force_status,value
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Total labour force,650.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employed,150.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Not in labour force,440.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Participation rate,30.2
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized participation rate,29.4
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employment Rate,23.8
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized employment rate,23.6
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Total labour force,440.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Not in labour force,320.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Participation rate,23.8
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Age standardized participation rate,23.9
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Severe,Not in labour force,100.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Total labour force,200.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Not in labour force,140.0
Newfoundland and Labrador,Males,15 to 24 years,Mobility,Very Severe,Total labour force,110.0
Newfoundland and Labrador,Males,15 to 24 years,Flexibility,Very Severe,Total labour force,90.0
Newfoundland and Labrador,Males,15 to 24 years,Dexterity,Very Severe,Total labour force,70.0
Newfoundland and Labrador,Males,15 to 24 years,Pain,Mild,Total labour force,170.0
Newfoundland and Labrador,Males,15 to 24 years,Learning,Mild,Total labour force,250.0
Newfoundland and Labrador,Males,15 to 24 years,Learning,Moderate,Total labour force,170.0
Newfoundland and Labrador,Males,15 to 24 years,Learning,Very Severe,Total labour force,170.0
Newfoundland and Labrador,Males,15 to 24 years,Memory,Very Severe,Total labour force,140.0
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Mild,Total labour force,50.0
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Severe,Total labour force,80.0
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Very Severe,Total labour force,160.0
Newfoundland and Labrador,Males,15 to 24 years,Mental and/or psychological,Very Severe,Total labour force,100.0
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Total labour force,1070.0
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employed,720.0
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Participation rate,96.2
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,96.7
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employment Rate,69.2
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,69.8
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Total labour force,1260.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employed,920.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Participation rate,82.9
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,83.6
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employment Rate,74.8
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,75.2
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Total labour force,550.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Participation rate,81.8
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,81.6
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Employment Rate,43.6
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,43.3
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Severe,Not in labour force,90.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Total labour force,530.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Not in labour force,340.0
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Total labour force,290.0
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Not in labour force,160.0
Newfoundland and Labrador,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,440.0
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Participation rate,95.2
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,95.3
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Employment Rate,90.5
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,90.8
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Participation rate,74.2
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Age standardized participation rate,74.4
Newfoundland and Labrador,Males,35 to 44 years,Pain,Very Severe,Total labour force,370.0
Newfoundland and Labrador,Males,35 to 44 years,Learning,Very Severe,Total labour force,340.0
Newfoundland and Labrador,Males,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,380.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Total labour force,2800.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Employed,2030.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Participation rate,80.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Age standardized participation rate,79.7
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Employment Rate,78.1
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Age standardized employment rate,77.9
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Total labour force,960.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Participation rate,87.5
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Age standardized participation rate,87.3
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Very Severe,Total labour force,910.0
Newfoundland and Labrador,Males,45 to 54 years,Mobility,Very Severe,Total labour force,860.0
Newfoundland and Labrador,Males,45 to 54 years,Flexibility,Very Severe,Total labour force,890.0
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Total labour force,1370.0
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Participation rate,86.6
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Age standardized participation rate,86.3
Newfoundland and Labrador,Males,45 to 54 years,Pain,Moderate,Total labour force,890.0
Newfoundland and Labrador,Males,45 to 54 years,Pain,Very Severe,Total labour force,860.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Total labour force,1960.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Employed,1220.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Participation rate,78.9
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Age standardized participation rate,78.7
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Employment Rate,62.9
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Age standardized employment rate,62.9
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Moderate,Total labour force,1040.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Moderate,Not in labour force,510.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Severe,Total labour force,1980.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Severe,Not in labour force,1320.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Very Severe,Total labour force,2830.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Very Severe,Not in labour force,1810.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Severe,Total labour force,1610.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Severe,Not in labour force,950.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Very Severe,Total labour force,2680.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Very Severe,Not in labour force,1710.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Moderate,Total labour force,700.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Severe,Total labour force,1080.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Severe,Not in labour force,1020.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Very Severe,Total labour force,2830.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Very Severe,Not in labour force,1810.0
Newfoundland and Labrador,Males,55 to 64 years,Dexterity,Very Severe,Total labour force,1790.0
Newfoundland and Labrador,Males,55 to 64 years,Dexterity,Very Severe,Not in labour force,1600.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Total labour force,710.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Participation rate,79.7
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Age standardized participation rate,80.9
Newfoundland and Labrador,Males,55 to 64 years,Pain,Moderate,Total labour force,700.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Severe,Total labour force,1720.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Severe,Not in labour force,1060.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Very Severe,Total labour force,2810.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Very Severe,Not in labour force,1790.0
Newfoundland and Labrador,Males,55 to 64 years,Mental and/or psychological,Very Severe,Total labour force,1490.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Total labour force,630.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Employed,240.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Not in labour force,300.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Participation rate,50.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Age standardized participation rate,50.7
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Employment Rate,38.7
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Age standardized employment rate,38.6
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Moderate,Total labour force,250.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Moderate,Not in labour force,170.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Severe,Total labour force,240.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Severe,Not in labour force,120.0
Newfoundland and Labrador,Females,15 to 24 years,Dexterity,Very Severe,Not in labour force,50.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Total labour force,190.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Participation rate,36.8
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Age standardized participation rate,36.7
Newfoundland and Labrador,Females,15 to 24 years,Pain,Moderate,Total labour force,120.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Severe,Total labour force,150.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Severe,Not in labour force,100.0
Newfoundland and Labrador,Females,15 to 24 years,Learning,Severe,Total labour force,120.0
Newfoundland and Labrador,Females,15 to 24 years,Learning,Severe,Not in labour force,60.0
Newfoundland and Labrador,Females,15 to 24 years,Learning,Very Severe,Total labour force,160.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Mild,Total labour force,180.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Moderate,Total labour force,140.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Moderate,Not in labour force,90.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Severe,Total labour force,160.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Severe,Not in labour force,90.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Very Severe,Not in labour force,60.0
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Total labour force,600.0
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Participation rate,58.6
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Age standardized participation rate,59.3
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Total labour force,1140.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Employed,730.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Not in labour force,340.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Participation rate,69.6
